case,t_mm,source,Z_mm3,fx_N_per_mm2,util_fx_py,elastic_check,adopt
C1_conclusion,6,Original conclusion line 6 mm Adequate,1200,450,2.14,NG,DO NOT USE
C2_calc_and_drawing,10,A6 calc t=10 mm = drawing to adopt,3333.33,162,0.77,O.K.,ADOPT
